llm	prompt_technique	test_id	weighted_score	response_time_ms	run_id	timestamp	difficulty	question	llm_call_success	strict_valid	strict_accuracy	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens	prompt_eval_count	eval_count	total_duration_ms	prompt_eval_duration_ms	eval_duration_ms	error_type	error_message
qwen3-coder:30b	rules_template	test1	100.00	21231	run_0001	2026-05-10 23:01:45	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7231	7231	1808	1584	40	21204	18285	2837		
qwen3-coder:30b	rules_template	test2	85.00	4348	run_0002	2026-05-10 23:02:07	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	false	0.00	true	true	true	true	false	true	0	1	1	0	0	0	7252	7252	1813	1589	51	4326	637	3598		
qwen3-coder:30b	rules_template	test3	85.00	4355	run_0003	2026-05-10 23:02:11	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7282	7282	1821	1595	50	4348	730	3534		
qwen3-coder:30b	rules_template	test4	100.00	3621	run_0004	2026-05-10 23:02:15	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7246	7246	1812	1584	42	3614	544	2974		
qwen3-coder:30b	rules_template	test5	85.00	4043	run_0005	2026-05-10 23:02:19	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7230	7230	1808	1585	48	4036	560	3395		
qwen3-coder:30b	rules_template	test6	85.00	4287	run_0006	2026-05-10 23:02:23	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7272	7272	1818	1586	51	4281	589	3613		
qwen3-coder:30b	rules_template	test7	80.00	4720	run_0007	2026-05-10 23:02:27	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7278	7278	1820	1595	55	4714	728	3887		
qwen3-coder:30b	rules_template	test8	80.00	5269	run_0008	2026-05-10 23:02:32	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7300	7300	1825	1597	62	5260	747	4419		
qwen3-coder:30b	rules_template	test9	85.00	4107	run_0009	2026-05-10 23:02:37	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	7237	7237	1810	1585	49	4099	585	3436		
qwen3-coder:30b	rules_template	test10	100.00	2344	run_0010	2026-05-10 23:02:41	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7222	7222	1806	1578	26	2338	452	1814		
qwen3-coder:30b	rules_generic_examples	test1	100.00	21930	run_0011	2026-05-10 23:02:44	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7049	7049	1763	1569	52	21925	18170	3676		
qwen3-coder:30b	rules_generic_examples	test2	100.00	6020	run_0012	2026-05-10 23:03:06	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7070	7070	1768	1574	68	6013	1035	4865		
qwen3-coder:30b	rules_generic_examples	test3	85.00	5943	run_0013	2026-05-10 23:03:12	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7100	7100	1775	1580	67	5937	1093	4758		
qwen3-coder:30b	rules_generic_examples	test4	100.00	4857	run_0014	2026-05-10 23:03:18	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7064	7064	1766	1569	54	4851	934	3814		
qwen3-coder:30b	rules_generic_examples	test5	70.00	5642	run_0015	2026-05-10 23:03:22	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	1	7048	7048	1762	1570	64	5633	955	4574		
qwen3-coder:30b	rules_generic_examples	test6	85.00	5578	run_0016	2026-05-10 23:03:28	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7090	7090	1773	1571	63	5571	987	4501		
qwen3-coder:30b	rules_generic_examples	test7	70.00	6717	run_0017	2026-05-10 23:03:34	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	0	1	7096	7096	1774	1580	77	6711	1104	5522		
qwen3-coder:30b	rules_generic_examples	test8	80.00	7126	run_0018	2026-05-10 23:03:40	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7118	7118	1780	1582	82	7121	1122	5912		
qwen3-coder:30b	rules_generic_examples	test9	85.00	5448	run_0019	2026-05-10 23:03:48	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	7055	7055	1764	1570	62	5442	953	4408		
qwen3-coder:30b	rules_generic_examples	test10	100.00	3251	run_0020	2026-05-10 23:03:53	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7040	7040	1760	1563	33	3246	847	2315		
qwen3-coder:30b	step_by_step_methodology	test1	100.00	22211	run_0021	2026-05-10 23:03:56	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7241	7241	1811	1598	51	22206	18468	3661		
qwen3-coder:30b	step_by_step_methodology	test2	100.00	5464	run_0022	2026-05-10 23:04:18	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7262	7262	1816	1603	66	5456	646	4729		
qwen3-coder:30b	step_by_step_methodology	test3	85.00	5317	run_0023	2026-05-10 23:04:24	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7292	7292	1823	1609	63	5312	737	4487		
qwen3-coder:30b	step_by_step_methodology	test4	100.00	4273	run_0024	2026-05-10 23:04:29	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7256	7256	1814	1598	51	4268	562	3623		
qwen3-coder:30b	step_by_step_methodology	test5	85.00	5068	run_0025	2026-05-10 23:04:33	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7240	7240	1810	1599	62	5062	546	4415		
qwen3-coder:30b	step_by_step_methodology	test6	85.00	4727	run_0026	2026-05-10 23:04:39	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7282	7282	1821	1600	57	4722	581	4063		
qwen3-coder:30b	step_by_step_methodology	test7	80.00	5269	run_0027	2026-05-10 23:04:43	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7288	7288	1822	1609	62	5264	739	4444		
qwen3-coder:30b	step_by_step_methodology	test8	80.00	5850	run_0028	2026-05-10 23:04:49	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7310	7310	1828	1611	70	5845	743	5014		
qwen3-coder:30b	step_by_step_methodology	test9	70.00	5403	run_0029	2026-05-10 23:04:54	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	2	2	0	7247	7247	1812	1599	66	5397	579	4711		
qwen3-coder:30b	step_by_step_methodology	test10	100.00	2555	run_0030	2026-05-10 23:05:00	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7232	7232	1808	1592	29	2549	446	2024		
qwen3-coder:30b	hybrid_self_check	test1	100.00	26336	run_0031	2026-05-10 23:05:02	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8412	8412	2103	1807	51	26329	22473	3771		
qwen3-coder:30b	hybrid_self_check	test2	100.00	6190	run_0032	2026-05-10 23:05:29	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8433	8433	2109	1812	68	6184	1106	4995		
qwen3-coder:30b	hybrid_self_check	test3	85.00	5980	run_0033	2026-05-10 23:05:35	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	8463	8463	2116	1818	63	5973	1222	4651		
qwen3-coder:30b	hybrid_self_check	test4	100.00	5020	run_0034	2026-05-10 23:05:41	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8427	8427	2107	1807	53	5013	1014	3919		
qwen3-coder:30b	hybrid_self_check	test5	85.00	5803	run_0035	2026-05-10 23:05:46	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	8411	8411	2103	1808	63	5796	1025	4663		
qwen3-coder:30b	hybrid_self_check	test6	85.00	5770	run_0036	2026-05-10 23:05:52	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	8453	8453	2114	1809	62	5765	1071	4610		
qwen3-coder:30b	hybrid_self_check	test7	80.00	6729	run_0037	2026-05-10 23:05:57	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	8459	8459	2115	1818	73	6722	1217	5420		
qwen3-coder:30b	hybrid_self_check	test8	80.00	7435	run_0038	2026-05-10 23:06:04	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	8481	8481	2121	1820	82	7428	1232	6085		
qwen3-coder:30b	hybrid_self_check	test9	85.00	5748	run_0039	2026-05-10 23:06:12	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	8418	8418	2105	1808	62	5742	1053	4593		
qwen3-coder:30b	hybrid_self_check	test10	100.00	3383	run_0040	2026-05-10 23:06:17	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	8403	8403	2101	1801	33	3376	908	2385		
qwen3:32b	rules_template	test1	100.00	22157	run_0041	2026-05-10 23:06:21	simple	What are the total store sales by product category for the year 1997?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7231	7231	1808	1592	40	22149	3905	18165		
qwen3:32b	rules_template	test2	100.00	28742	run_0042	2026-05-10 23:06:43	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7252	7252	1813	1597	52	28734	4801	23827		
qwen3:32b	rules_template	test3	85.00	28410	run_0043	2026-05-10 23:07:12	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7282	7282	1821	1603	50	28404	5451	22861		
qwen3:32b	rules_template	test4	100.00	23300	run_0044	2026-05-10 23:07:40	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7246	7246	1812	1592	42	23294	4287	18928		
qwen3:32b	rules_template	test5	70.00	21723	run_0045	2026-05-10 23:08:03	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	1	7230	7230	1808	1593	39	21716	4267	17373		
qwen3:32b	rules_template	test6	85.00	27472	run_0046	2026-05-10 23:08:25	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7272	7272	1818	1594	50	27466	4621	22753		
qwen3:32b	rules_template	test7	80.00	31225	run_0047	2026-05-10 23:08:53	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7278	7278	1820	1603	56	31219	5582	25546		
qwen3:32b	rules_template	test8	70.00	31506	run_0048	2026-05-10 23:09:24	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	2	7300	7300	1825	1605	56	31499	5636	25737		
qwen3:32b	rules_template	test9	60.00	29558	run_0049	2026-05-10 23:09:55	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	false	false	false	0	0	1	1	0	0	7237	7237	1810	1593	55	29551	4384	25080		
qwen3:32b	rules_template	test10	100.00	15265	run_0050	2026-05-10 23:10:25	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7222	7222	1806	1586	26	15258	3604	11573		
qwen3:32b	rules_generic_examples	test1	0.00	60065	run_0051	2026-05-10 23:10:40	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	7049	7049	1763	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	rules_generic_examples	test2	0.00	60064	run_0052	2026-05-10 23:11:40	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7070	7070	1768	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	rules_generic_examples	test3	85.00	71298	run_0053	2026-05-10 23:12:40	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	0	0	7100	7100	1775	1588	54	71292	8567	24502		
qwen3:32b	rules_generic_examples	test4	100.00	31680	run_0054	2026-05-10 23:13:52	medium	What is the total store cost by product family and store city for stores in the USA?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7064	7064	1766	1577	54	31673	6996	24586		
qwen3:32b	rules_generic_examples	test5	40.00	30424	run_0055	2026-05-10 23:14:23	medium	What are the total store sales of low-fat products by month in 1997?	true	false	0.00	true	true	true	true	false	false	1	1	1	1	0	1	7048	7048	1762	1578	51	30417	6964	23327		
qwen3:32b	rules_generic_examples	test6	85.00	36455	run_0056	2026-05-10 23:14:54	complex	How many units were sold by customer yearly income and gender for married customers with a Golden member card?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7090	7090	1773	1579	64	36448	7230	29129		
qwen3:32b	rules_generic_examples	test7	80.00	41236	run_0057	2026-05-10 23:15:30	complex	What is the average store sales amount by store type for stores that have both a coffee bar and a salad bar in 1998?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	2	7096	7096	1774	1588	73	41229	8217	32916		
qwen3:32b	rules_generic_examples	test8	80.00	46311	run_0058	2026-05-10 23:16:11	complex	What are the total store sales by brand name and product subcategory for customers from Washington, USA, during the first quarter of 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	1	1	1	7118	7118	1780	1590	82	46304	8562	37644		
qwen3:32b	rules_generic_examples	test9	55.00	37266	run_0059	2026-05-10 23:16:58	complex	How much food was sold in each store by product department in January 1997?	true	false	0.00	true	true	true	false	true	false	0	0	0	2	2	0	7055	7055	1764	1578	66	37260	6914	30253		
qwen3:32b	rules_generic_examples	test10	100.00	21137	run_0060	2026-05-10 23:17:35	simple	What are the total store sales across the entire sales cube?	true	true	1.00	true	true	true	true	true	true	0	0	0	0	0	0	7040	7040	1760	1571	33	21131	6191	14853		
qwen3:32b	step_by_step_methodology	test1	0.00	60047	run_0061	2026-05-10 23:17:56	simple	What are the total store sales by product category for the year 1997?	false	false	0.00	false	false	false	false	false	false	0	1	0	1	0	0	7241	7241	1811	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	step_by_step_methodology	test2	0.00	60063	run_0062	2026-05-10 23:18:56	medium	How many units were sold by store state and quarter in 1998 for stores located in the USA?	false	false	0.00	false	false	false	false	false	false	0	2	0	2	0	0	7262	7262	1816	-1	-1	-1	-1	-1	HTTP_ERROR_504	LLM request failed with HTTP status: 504
qwen3:32b	step_by_step_methodology	test3	85.00	76597	run_0063	2026-05-10 23:19:56	medium	For stores in California with state code CA, what was the average sales amount for each promotion media type in Q3 1997?	true	false	0.00	true	true	true	true	true	false	0	0	0	0	0	1	7292	7292	1823	1617	64	76592	5764	29364		
