run_id	llm	prompt_combination	test_id	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	gemma4:26b	baseline	simple_01	simple	structured_wording	0.00	0.85	0.00	29326	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by product category for the year 1997",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997"\n  ]\n}	3673	3673	919	919	1124	102	1226	29317	12766	11424	5119	98.38	19.92	true			2026-09-20 00:31:50
run_0002	gemma4:26b	baseline	simple_02	simple	structured_wording	0.00	0.85	0.00	8558	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by store type",\n  "aggregateFunction": "avg",\n  "measure": "store_cost",\n  "gamma": [\n    "store_dim.store_type"\n  ],\n  "sigma": []\n}	3649	3649	913	913	1116	74	1190	8550	1	4968	3575	224.62	20.70	true			2026-09-20 00:32:20
run_0003	gemma4:26b	baseline	simple_03	simple	structured_wording	0.00	0.85	0.00	7896	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales across the entire cube?	sales_cube	Sum	store_sales	[]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": []\n}	3658	3658	915	915	1117	59	1176	7888	1	5118	2764	218.22	21.35	true			2026-09-20 00:32:28
run_0004	gemma4:26b	baseline	simple_04	simple	natural_wording	0.00	0.85	0.00	8884	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "How much sales revenue did each product family generate?",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": []\n}	3660	3660	915	915	1116	77	1193	8876	1	5107	3761	218.52	20.47	true			2026-09-20 00:32:36
run_0005	gemma4:26b	baseline	simple_05	simple	natural_wording	0.00	0.82	0.00	10263	true	1.00	0.90	1.00	0.00	1.00	false	false	70.00	85.00	true	true	false	true	true	false	true	0	0	0	0	0	1	How much sales revenue came from stores in California during 1998?	sales_cube	Sum	store_sales	[]	[store_dim.store_state='CA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "How much sales revenue came from stores in California during 1998?",\n  "aggregateFunction": "sum",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": [\n    "store_dim.store_state = 'California'",\n    "date_dim.the_year = 1998"\n  ]\n}	3670	3670	918	918	1122	103	1225	10256	1	5214	5035	215.19	20.46	true			2026-09-20 00:32:45
run_0006	gemma4:26b	baseline	medium_01	medium	structured_wording	0.00	0.85	0.00	11608	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total unit sales by store state and quarter for stores in the USA during 1998?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "total unit sales by store state and quarter for stores in the USA during 1998",\n  "aggregateFunction": "sum",\n  "measure": "unit_sales",\n  "gamma": [\n    "store_dim.store_state",\n    "date_dim.year_quarter"\n  ],\n  "sigma": [\n    "store_dim.store_country = 'USA'",\n    "date_dim.the_year = 1998"\n  ]\n}	3695	3695	924	924	1129	132	1261	11600	1	5282	6312	213.74	20.91	true			2026-09-20 00:32:55
run_0007	gemma4:26b	baseline	medium_02	medium	structured_wording	0.00	0.85	0.00	10957	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "average store cost by product family for stores in the USA during 1997",\n  "aggregateFunction": "avg",\n  "measure": "store_cost",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": [\n    "store_dim.store_country = 'USA'",\n    "date_dim.the_year = 1997"\n  ]\n}	3687	3687	922	922	1127	119	1246	10950	1	5159	5783	218.43	20.58	true			2026-09-20 00:33:07
run_0008	gemma4:26b	baseline	medium_03	medium	structured_wording	0.00	0.85	0.00	10691	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total store sales by promotion media type and product category during 1997",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "promotion_dim.media_type",\n    "product_dim.product_category"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997"\n  ]\n}	3692	3692	923	923	1126	115	1241	10683	1	5100	5577	220.77	20.62	true			2026-09-20 00:33:18
run_0009	gemma4:26b	baseline	medium_04	medium	natural_wording	0.00	0.85	0.00	10735	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	Among Golden-card customers in the USA, how many units did men and women buy?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "Among Golden-card customers in the USA, how many units did men and women buy?",\n  "aggregateFunction": "SUM",\n  "measure": "unit_sales",\n  "gamma": [\n    "customer_dim.gender"\n  ],\n  "sigma": [\n    "customer_dim.member_card = 'Golden'",\n    "customer_dim.country = 'USA'"\n  ]\n}	3681	3681	921	921	1124	112	1236	10728	1	5118	5603	219.59	19.99	true			2026-09-20 00:33:29
run_0010	gemma4:26b	baseline	medium_05	medium	natural_wording	0.00	0.81	0.00	11566	true	1.00	0.88	1.00	0.00	1.00	false	false	70.00	85.00	true	true	false	true	true	false	true	0	0	0	0	0	1	During 1997, how did the sales revenue from low-fat products change from month to month?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "sales revenue from low-fat products change from month to month during 1997",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "date_dim.year_and_month"\n  ],\n  "sigma": [\n    "date_dim.the_year = 1997",\n    "product_dim.low_fat = 'Y'"\n  ]\n}	3692	3692	923	923	1129	122	1251	11558	1	5229	6323	215.91	19.29	true			2026-09-20 00:33:39
