run_id	llm	prompt_combination	test_id	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	qwen3.5:35b	baseline	simple_01	simple	structured_wording	0.00	0.85	0.00	20579	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_product_category_1997",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": ["product_dim.product_category"],\n  "sigma": ["date_dim.the_year = 1997"]\n}	3673	3673	919	919	889	79	968	20573	2931	9482	8065	93.75	9.79	true			2026-09-18 02:01:09
run_0002	qwen3.5:35b	baseline	simple_02	simple	structured_wording	0.00	0.85	0.00	10726	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "average_store_cost_by_store_type",\n  "aggregateFunction": "AVG",\n  "measure": "store_cost",\n  "gamma": ["store_dim.store_type"],\n  "sigma": []\n}	3649	3649	913	913	881	64	945	10721	145	4040	6500	218.06	9.84	true			2026-09-18 02:01:30
run_0003	qwen3.5:35b	baseline	simple_03	simple	structured_wording	0.00	0.85	0.00	9853	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales across the entire cube?	sales_cube	Sum	store_sales	[]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [],\n  "sigma": []\n}	3658	3658	915	915	882	55	937	9848	149	4103	5564	214.96	9.88	true			2026-09-18 02:01:40
run_0004	qwen3.5:35b	baseline	simple_04	simple	natural_wording	0.00	0.85	0.00	10285	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]	{\n  "cubeName": "sales_cube",\n  "queryName": "sales_by_product_family",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": ["product_dim.product_family"],\n  "sigma": []\n}	3660	3660	915	915	881	61	942	10280	152	3880	6201	227.01	9.84	true			2026-09-18 02:01:50
run_0005	qwen3.5:35b	baseline	simple_05	simple	natural_wording	0.00	0.25	0.00	13487	true	0.00	0.00	1.00	0.00	1.00	false	false	25.00	25.00	true	true	false	true	false	false	false	2	0	2	2	0	0	How much sales revenue came from stores in California during 1998?	sales_cube	Sum	store_sales	[]	[store_dim.store_state='CA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "sales_revenue_california_1998",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": [\n    "store_dim.store_state = 'California'",\n    "date_dim.the_year = 1998"\n  ],\n  "sigma": []\n}	3670	3670	918	918	887	90	977	13472	108	4136	9184	214.43	9.80	true			2026-09-18 02:02:00
run_0006	qwen3.5:35b	baseline	medium_01	medium	structured_wording	0.00	0.37	0.00	15370	true	0.00	0.40	1.00	0.00	1.00	false	false	25.00	25.00	true	true	false	true	false	false	false	2	2	2	2	2	0	What are the total unit sales by store state and quarter for stores in the USA during 1998?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']	{\n  "cubeName": "sales_cube",\n  "queryName": "unit_sales_by_store_state_and_quarter",\n  "aggregateFunction": "SUM",\n  "measure": "unit_sales",\n  "gamma": [\n    "store_dim.store_state = 'USA'",\n    "date_dim.the_year = 1998"\n  ],\n  "sigma": [\n    "store_dim.store_state",\n    "date_dim.quarter"\n  ]\n}	3695	3695	924	924	894	107	1001	15365	130	4230	10955	211.33	9.77	true			2026-09-18 02:02:14
run_0007	qwen3.5:35b	baseline	medium_02	medium	structured_wording	0.00	0.70	0.00	14115	true	1.00	0.50	1.00	0.00	1.00	false	false	70.00	70.00	true	true	false	true	true	false	false	0	0	0	1	1	0	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "avg_store_cost_by_product_family",\n  "aggregateFunction": "AVG",\n  "measure": "store_cost",\n  "gamma": [\n    "product_dim.product_family"\n  ],\n  "sigma": [\n    "customer_dim.country = 'USA'",\n    "date_dim.the_year = 1997"\n  ]\n}	3687	3687	922	922	892	97	989	14109	167	4008	9887	222.51	9.81	true			2026-09-18 02:02:29
run_0008	qwen3.5:35b	baseline	medium_03	medium	structured_wording	0.00	0.85	0.00	12900	true	1.00	1.00	1.00	0.00	1.00	false	false	85.00	85.00	true	true	false	true	true	true	true	0	0	0	0	0	0	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "total_store_sales_by_promotion_media_and_product_category",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": ["promotion_dim.media_type", "product_dim.product_category"],\n  "sigma": ["date_dim.the_year = 1997"]\n}	3692	3692	923	923	891	84	975	12894	108	4197	8546	212.25	9.83	true			2026-09-18 02:02:43
run_0009	qwen3.5:35b	baseline	medium_04	medium	natural_wording	0.00	0.67	0.00	14926	true	0.50	0.90	1.00	0.00	1.00	false	false	55.00	70.00	true	true	false	true	false	false	true	0	0	1	0	0	1	Among Golden-card customers in the USA, how many units did men and women buy?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']	{\n  "cubeName": "sales_cube",\n  "queryName": "units_by_gender_usa_golden_card",\n  "aggregateFunction": "SUM",\n  "measure": "unit_sales",\n  "gamma": [\n    "customer_dim.gender",\n    "customer_dim.member_card"\n  ],\n  "sigma": [\n    "customer_dim.country = 'USA'",\n    "customer_dim.member_card = 'Golden-card'"\n  ]\n}	3681	3681	921	921	888	103	991	14921	113	4175	10583	212.66	9.73	true			2026-09-18 02:02:56
run_0010	qwen3.5:35b	baseline	medium_05	medium	natural_wording	0.00	0.66	0.00	14256	true	0.38	1.00	1.00	0.00	1.00	false	false	55.00	55.00	true	true	false	true	false	true	true	0	1	2	0	0	0	During 1997, how did the sales revenue from low-fat products change from month to month?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']	{\n  "cubeName": "sales_cube",\n  "queryName": "low_fat_monthly_sales_1997",\n  "aggregateFunction": "SUM",\n  "measure": "store_sales",\n  "gamma": ["date_dim.the_month", "product_dim.low_fat"],\n  "sigma": ["date_dim.the_year = 1997", "product_dim.low_fat = 1"]\n}	3692	3692	923	923	893	96	989	14251	137	4229	9838	211.16	9.76	true			2026-09-18 02:03:11
