run_id	llm	prompt_combination	test_id	pair_id	wording_type	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	adjusted_duration_ms	adjusted_duration_s	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	gemma4:26b	baseline	pair_11_structured	pair_11	structured	complex	structured_wording	0	0.85	0	12826	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	What are the total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory?	sales_cube	Sum	store_sales	"[date_dim.year_and_month, customer_dim.state_province]"	"[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory"",\n  ""aggregateFunction"": ""sum"",\n  ""measure"": ""store_sales"",\n  ""gamma"": [\n    ""date_dim.year_and_month"",\n    ""customer_dim.state_province""\n  ],\n  ""sigma"": [\n    ""date_dim.the_year = 1997"",\n    ""customer_dim.country = 'USA'"",\n    ""product_dim.product_subcategory = 'Milk'""\n  ]\n}"	3749	3749	938	938	1137	154	1291	12817	1	12816	12.816	5435	7374	209.19	20.88	TRUE			21/09/2026 00:08
run_0002	gemma4:26b	baseline	pair_11_natural	pair_11	natural	complex	natural_wording	0	0.85	0	12559	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	"For customers in the USA who bought items from the Milk subcategory in 1997, how much sales revenue came from each customer state in each month?"	sales_cube	Sum	store_sales	"[date_dim.year_and_month, customer_dim.state_province]"	"[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""sales revenue by customer state and month for Milk subcategory in USA in 1997"",\n  ""aggregateFunction"": ""sum"",\n  ""measure"": ""store_sales"",\n  ""gamma"": [\n    ""customer_dim.state_province"",\n    ""date_dim.year_and_month""\n  ],\n  ""sigma"": [\n    ""customer_dim.country = 'USA'"",\n    ""product_dim.product_subcategory = 'Milk'"",\n    ""date_dim.the_year = 1997""\n  ]\n}"	3748	3748	937	937	1139	146	1285	12535	1	12534	12.534	5209	7317	218.66	19.95	TRUE			21/09/2026 00:08
run_0003	gemma4:26b	baseline	pair_14_natural	pair_14	natural	complex	natural_wording	0	0.78	0	13356	TRUE	1	0.76	1	0	1	FALSE	FALSE	70	77.5	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0	0	0	1	1	1	"For Food purchases made by customers from Washington in the USA during 1997, how did sales revenue vary across quarters and brands?"	sales_cube	Sum	store_sales	"[date_dim.year_quarter, product_dim.brand_name]"	"[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""sales revenue variation by quarter and brand for food in Washington USA 1997"",\n  ""aggregateFunction"": ""sum"",\n  ""measure"": ""store_sales"",\n  ""gamma"": [\n    ""date_dim.year_quarter"",\n    ""product_dim.brand_name""\n  ],\n  ""sigma"": [\n    ""product_dim.product_category = 'Food'"",\n    ""customer_dim.state_province = 'Washington'"",\n    ""customer_dim.country = 'USA'"",\n    ""date_dim.the_year = 1997""\n  ]\n}"	3735	3735	934	934	1134	156	1290	13342	1	13341	13.341	5082	8251	223.14	18.91	TRUE			21/09/2026 00:09
run_0004	gemma4:26b	baseline	pair_14_structured	pair_14	structured	complex	structured_wording	0	0.78	0	16568	TRUE	1	0.76	1	0	1	FALSE	FALSE	70	77.5	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0	0	0	1	1	1	What are the total store sales by quarter and brand during 1997 for Food products purchased by customers from Washington in the USA?	sales_cube	Sum	store_sales	"[date_dim.year_quarter, product_dim.brand_name]"	"[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""total store sales by quarter and brand during 1997 for Food products purchased by customers from Washington in the USA"",\n  ""aggregateFunction"": ""SUM"",\n  ""measure"": ""store_sales"",\n  ""gamma"": [\n    ""date_dim.year_quarter"",\n    ""product_dim.brand_name""\n  ],\n  ""sigma"": [\n    ""date_dim.the_year = 1997"",\n    ""product_dim.product_category = 'Food'"",\n    ""customer_dim.state_province = 'Washington'"",\n    ""customer_dim.country = 'USA'""\n  ]\n}"	3736	3736	934	934	1134	163	1297	13128	1	13127	13.127	5126	7994	221.19	20.39	TRUE			21/09/2026 00:09
run_0005	gemma4:26b	baseline	pair_07_natural	pair_07	natural	medium	natural_wording	0	0.85	0	10904	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	"For stores in the USA in 1997, how did the average store cost compare across product families?"	sales_cube	Avg	store_cost	[product_dim.product_family]	"[store_dim.store_country='USA', date_dim.the_year='1997']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""average store cost by product family for USA stores in 1997"",\n  ""aggregateFunction"": ""AVG"",\n  ""measure"": ""store_cost"",\n  ""gamma"": [\n    ""product_dim.product_family""\n  ],\n  ""sigma"": [\n    ""store_dim.store_country = 'USA'"",\n    ""date_dim.the_year = 1997""\n  ]\n}"	3698	3698	925	925	1129	117	1246	10892	3	10889	10.889	5108	5758	221	20.32	TRUE			21/09/2026 00:09
run_0006	gemma4:26b	baseline	pair_07_structured	pair_07	structured	medium	structured_wording	0	0.85	0	10831	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	"[store_dim.store_country='USA', date_dim.the_year='1997']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""average store cost by product family for stores in the USA during 1997"",\n  ""aggregateFunction"": ""avg"",\n  ""measure"": ""store_cost"",\n  ""gamma"": [\n    ""product_dim.product_family""\n  ],\n  ""sigma"": [\n    ""store_dim.store_country = 'USA'"",\n    ""date_dim.the_year = 1997""\n  ]\n}"	3687	3687	922	922	1127	119	1246	10823	1	10822	10.822	5050	5764	223.14	20.64	TRUE			21/09/2026 00:09
run_0007	gemma4:26b	baseline	pair_08_natural	pair_08	natural	medium	natural_wording	0	0.85	0	11115	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	"In 1997, how much sales revenue came from each product category under each type of promotional media?"	sales_cube	Sum	store_sales	"[promotion_dim.media_type, product_dim.product_category]"	[date_dim.the_year='1997']	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""In 1997, how much sales revenue came from each product category under each type of promotional media?"",\n  ""aggregateFunction"": ""SUM"",\n  ""measure"": ""store_sales"",\n  ""gamma"": [\n    ""product_dim.product_category"",\n    ""promotion_dim.media_type""\n  ],\n  ""sigma"": [\n    ""date_dim.the_year = 1997""\n  ]\n}"	3705	3705	927	927	1129	121	1250	11107	1	11106	11.106	5030	6070	224.44	19.93	TRUE			21/09/2026 00:09
run_0008	gemma4:26b	baseline	pair_08_structured	pair_08	structured	medium	structured_wording	0	0.85	0	10585	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	"[promotion_dim.media_type, product_dim.product_category]"	[date_dim.the_year='1997']	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""total store sales by promotion media type and product category during 1997"",\n  ""aggregateFunction"": ""sum"",\n  ""measure"": ""store_sales"",\n  ""gamma"": [\n    ""promotion_dim.media_type"",\n    ""product_dim.product_category""\n  ],\n  ""sigma"": [\n    ""date_dim.the_year = 1997""\n  ]\n}"	3692	3692	923	923	1126	115	1241	10577	1	10576	10.576	5112	5456	220.22	21.08	TRUE			21/09/2026 00:10
run_0009	gemma4:26b	baseline	pair_09_structured	pair_09	structured	medium	structured_wording	0	0.85	0	10352	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	What are the total unit sales by customer gender for Golden-card customers in the USA?	sales_cube	Sum	unit_sales	[customer_dim.gender]	"[customer_dim.member_card='Golden', customer_dim.country='USA']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""total unit sales by customer gender for Golden-card customers in the USA"",\n  ""aggregateFunction"": ""SUM"",\n  ""measure"": ""unit_sales"",\n  ""gamma"": [\n    ""customer_dim.gender""\n  ],\n  ""sigma"": [\n    ""customer_dim.member_card = 'Golden'"",\n    ""customer_dim.country = 'USA'""\n  ]\n}"	3690	3690	923	923	1124	109	1233	10345	1	10344	10.344	5048	5287	222.63	20.61	TRUE			21/09/2026 00:10
run_0010	gemma4:26b	baseline	pair_09_natural	pair_09	natural	medium	natural_wording	0	0.85	0	10984	TRUE	1	1	1	0	1	FALSE	FALSE	85	85	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	"Among Golden-card customers in the USA, how many units did men and women buy?"	sales_cube	Sum	unit_sales	[customer_dim.gender]	"[customer_dim.member_card='Golden', customer_dim.country='USA']"	"{\n  ""cubeName"": ""sales_cube"",\n  ""queryName"": ""Among Golden-card customers in the USA, how many units did men and women buy?"",\n  ""aggregateFunction"": ""SUM"",\n  ""measure"": ""unit_sales"",\n  ""gamma"": [\n    ""customer_dim.gender""\n  ],\n  ""sigma"": [\n    ""customer_dim.member_card = 'Golden'"",\n    ""customer_dim.country = 'USA'""\n  ]\n}"	3681	3681	921	921	1124	112	1236	10976	1	10975	10.975	5107	5859	220.07	19.11	TRUE			21/09/2026 00:10
