run_id	llm	prompt_combination	test_id	difficulty	category	strict_accuracy	overall_similarity	structural_accuracy	response_time_ms	similarity_available	gamma_similarity	sigma_similarity	measure_similarity	aggregate_similarity	cube_similarity	strict_valid	structural_valid	strict_weighted_score	structural_weighted_score	format_valid	cube_correct	aggregate_correct	measure_correct	gamma_correct	sigma_correct	structural_sigma_correct	unknown_fields_count	missing_gamma_count	extra_gamma_count	missing_sigma_count	extra_sigma_count	wrong_sigma_value_count	question	expected_cube	expected_aggregate	expected_measure	expected_gamma	expected_sigma	actual_answer	prompt_chars	prompt_utf8_bytes	prompt_estimated_tokens_chars	prompt_estimated_tokens_bytes	prompt_eval_count	eval_count	total_tokens	total_duration_ms	load_duration_ms	prompt_eval_duration_ms	eval_duration_ms	prompt_tokens_per_second	output_tokens_per_second	llm_call_success	error_type	error_message	timestamp
run_0001	gemma4:26b	baseline	simple_01	simple	structured_wording	0.00		0.00	29345	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	1	0	1	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']		3673	3673	919	919	1127	128	1255	29337	12776	10673	5880	105.59	21.77	true			2026-09-19 04:22:14
run_0002	gemma4:26b	baseline	simple_02	simple	structured_wording	0.00		0.00	11107	false						false	false	30.00	30.00	false	false	false	false	false	true	true	0	1	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]		3649	3649	913	913	1119	128	1247	11100	1	5063	6030	221.01	21.23	true			2026-09-19 04:22:43
run_0003	gemma4:26b	baseline	simple_03	simple	structured_wording	0.00		0.00	11711	false						false	false	60.00	60.00	false	false	false	false	true	true	true	0	0	0	0	0	0	What are the total store sales across the entire cube?	sales_cube	Sum	store_sales	[]	[]		3658	3658	915	915	1120	128	1248	11703	1	5097	6599	219.73	19.40	true			2026-09-19 04:22:54
run_0004	gemma4:26b	baseline	simple_04	simple	natural_wording	0.00		0.00	11362	false						false	false	30.00	30.00	false	false	false	false	false	true	true	0	1	0	0	0	0	How much sales revenue did each product family generate?	sales_cube	Sum	store_sales	[product_dim.product_family]	[]		3660	3660	915	915	1119	128	1247	11354	1	5091	6256	219.80	20.46	true			2026-09-19 04:23:06
run_0005	gemma4:26b	baseline	simple_05	simple	natural_wording	0.00		0.00	11075	false						false	false	30.00	30.00	false	false	false	false	true	false	false	0	0	0	2	0	0	How much sales revenue came from stores in California during 1998?	sales_cube	Sum	store_sales	[]	[store_dim.store_state='CA', date_dim.the_year='1998']		3670	3670	918	918	1125	128	1253	11067	1	5178	5880	217.22	21.77	true			2026-09-19 04:23:17
run_0006	gemma4:26b	baseline	medium_01	medium	structured_wording	0.00		0.00	11453	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	2	0	0	What are the total unit sales by store state and quarter for stores in the USA during 1998?	sales_cube	Sum	unit_sales	[store_dim.store_state, date_dim.year_quarter]	[store_dim.store_country='USA', date_dim.the_year='1998']		3695	3695	924	924	1132	128	1260	11445	1	5253	6184	215.47	20.70	true			2026-09-19 04:23:28
run_0007	gemma4:26b	baseline	medium_02	medium	structured_wording	0.00		0.00	11374	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	1	0	2	0	0	What is the average store cost by product family for stores in the USA during 1997?	sales_cube	Avg	store_cost	[product_dim.product_family]	[store_dim.store_country='USA', date_dim.the_year='1997']		3687	3687	922	922	1130	128	1258	11367	1	5134	6226	220.09	20.56	true			2026-09-19 04:23:40
run_0008	gemma4:26b	baseline	medium_03	medium	structured_wording	0.00		0.00	11141	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	1	0	0	What are the total store sales by promotion media type and product category during 1997?	sales_cube	Sum	store_sales	[promotion_dim.media_type, product_dim.product_category]	[date_dim.the_year='1997']		3692	3692	923	923	1129	128	1257	11133	1	5147	5979	219.34	21.41	true			2026-09-19 04:23:51
run_0009	gemma4:26b	baseline	medium_04	medium	natural_wording	0.00		0.00	11080	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	1	0	2	0	0	Among Golden-card customers in the USA, how many units did men and women buy?	sales_cube	Sum	unit_sales	[customer_dim.gender]	[customer_dim.member_card='Golden', customer_dim.country='USA']		3681	3681	921	921	1127	128	1255	11072	1	5086	5978	221.56	21.41	true			2026-09-19 04:24:02
run_0010	gemma4:26b	baseline	medium_05	medium	natural_wording	0.00		0.00	11135	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	1	0	2	0	0	During 1997, how did the sales revenue from low-fat products change from month to month?	sales_cube	Sum	store_sales	[date_dim.year_and_month]	[product_dim.low_fat='1', date_dim.the_year='1997']		3692	3692	923	923	1132	128	1260	11126	1	5221	5897	216.79	21.70	true			2026-09-19 04:24:13
run_0011	gemma4:26b	baseline	complex_01	complex	structured_wording	0.00		0.00	11342	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	3	0	0	What are the total store sales by month and customer state during 1997 for customers in the USA who purchased products from the Milk subcategory?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.state_province]	[date_dim.the_year='1997', customer_dim.country='USA', product_dim.product_subcategory='Milk']		3749	3749	938	938	1140	128	1268	11333	1	5282	6043	215.80	21.18	true			2026-09-19 04:24:25
run_0012	gemma4:26b	baseline	complex_02	complex	structured_wording	0.00		0.00	11380	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	3	0	0	What are the total store sales by product subcategory and quarter during 1997 for Breakfast Foods sold by stores in the USA?	sales_cube	Sum	store_sales	[product_dim.product_subcategory, date_dim.year_quarter]	[date_dim.the_year='1997', product_dim.product_category='Breakfast Foods', store_dim.store_country='USA']		3728	3728	932	932	1137	128	1265	11373	1	5101	6264	222.88	20.43	true			2026-09-19 04:24:36
run_0013	gemma4:26b	baseline	complex_03	complex	structured_wording	0.00		0.00	11655	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	3	0	0	What are the total store sales by month and customer city during Q3 1997 for customers in California when the promotion media type was Daily Paper?	sales_cube	Sum	store_sales	[date_dim.year_and_month, customer_dim.city]	[date_dim.year_quarter='1997-Q3', customer_dim.state_province='CA', promotion_dim.media_type='Daily Paper']		3751	3751	938	938	1141	128	1269	11647	1	5225	6413	218.35	19.96	true			2026-09-19 04:24:47
run_0014	gemma4:26b	baseline	complex_04	complex	natural_wording	0.00		0.00	11561	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	4	0	0	For Food purchases made by customers from Washington in the USA during 1997, how did sales revenue vary across quarters and brands?	sales_cube	Sum	store_sales	[date_dim.year_quarter, product_dim.brand_name]	[product_dim.product_family='Food', customer_dim.state_province='WA', customer_dim.country='USA', date_dim.the_year='1997']		3735	3735	934	934	1137	128	1265	11553	1	5134	6410	221.45	19.97	true			2026-09-19 04:24:59
run_0015	gemma4:26b	baseline	complex_05	complex	natural_wording	0.00		0.00	11636	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	2	0	3	0	0	When Daily Paper promotions were used in California during Q3 1997, how did the average sales revenue differ across product categories and store types?	sales_cube	Avg	store_sales	[product_dim.product_category, store_dim.store_type]	[promotion_dim.media_type='Daily Paper', store_dim.store_state='CA', date_dim.year_quarter='1997-Q3']		3755	3755	939	939	1140	128	1268	11628	1	5189	6432	219.68	19.90	true			2026-09-19 04:25:11
run_0016	gemma4:26b	instructions_for_query_generation	simple_01	simple	structured_wording	0.00		0.00	25969	false						false	false	0.00	0.00	false	false	false	false	false	false	false	0	1	0	1	0	0	What are the total store sales by product category for the year 1997?	sales_cube	Sum	store_sales	[product_dim.product_category]	[date_dim.the_year='1997']		7714	7714	1929	1929	1972	128	2100	25956	1	19023	6586	103.66	19.44	true			2026-09-19 04:25:22
run_0017	gemma4:26b	instructions_for_query_generation	simple_02	simple	structured_wording	0.00		0.00	9794	false						false	false	30.00	30.00	false	false	false	false	false	true	true	0	1	0	0	0	0	What is the average store cost by store type?	sales_cube	Avg	store_cost	[store_dim.store_type]	[]		7690	7690	1923	1923	1964	128	2092	9783	1	2614	7152	751.11	17.90	true			2026-09-19 04:25:48
